id,name,rating,city
1,99% Tea House,4.5,Fremont
2,One Tea,4.5,Fremont
3,Royaltea USA,4,Fremont
4,TECO Tea & Coffee Bar,4.5,Fremont
5,T-LAB,4,Fremont
6,Q-Tea Monster,4,Newark
7,Gong Cha,4,Fremont
8,Happy Lemon,4.5,Fremont
9,Factory Tea Bar,3.5,Fremont
10,Super Cue Cafe,3.5,Fremont
11,Milk and Honey Cafe,3.5,Fremont
12,Tea Island,4,Fremont
13,Taro Taro Dessert & Tea House,3.5,Fremont
14,i-Tea,3.5,Fremont
15,i-Tea,4,Newark
16,Sharetea,4,Fremont
17,uRbain tea,3.5,Fremont
18,MandRo Teahouse,4,Newark
19,Tea Six,3.5,Fremont
20,Tata Teahouse,3,Fremont
21,Tea Station,3.5,Newark
22,Sno-Crave Tea House,3,Fremont
23,Boba Queen,3.5,Fremont
24,T4 Tea,3.5,Fremont
25,Boba Fitt Drinks,3.5,Union City
